Product ID,Behavior,de-DE Title,de-DE Description,en-US Title,en-US Description,fr-FR Title,fr-FR Description,es-ES Title,es-ES Description,it-IT Title,it-IT Description,pt-BR Title,pt-BR Description,tr-TR Title,tr-TR Description,Price Hint
nyr.shards.180,consumable,180 Nyr-Splitter,Premiumwährung für optionale Inhalte.,180 Nyr Shards,Premium currency for optional content.,180 Nyr Éclats,Monnaie premium pour contenu optionnel.,180 Fragmentos Nyr,Moneda premium para contenido opcional.,180 Schegge Nyr,Valuta premium per contenuti opzionali.,180 Fragmentos Nyr,Moeda premium para conteúdo opcional.,180 Nyr Parçası,İsteğe bağlı içerik için premium para birimi.,"1,99 €"
nyr.shards.500,consumable,500 Nyr-Splitter,Premiumwährung für optionale Inhalte.,500 Nyr Shards,Premium currency for optional content.,500 Nyr Éclats,Monnaie premium pour contenu optionnel.,500 Fragmentos Nyr,Moneda premium para contenido opcional.,500 Schegge Nyr,Valuta premium per contenuti opzionali.,500 Fragmentos Nyr,Moeda premium para conteúdo opcional.,500 Nyr Parçası,İsteğe bağlı içerik için premium para birimi.,"4,99 €"
nyr.shards.1100,consumable,1.100 Nyr-Splitter,Premiumwährung für optionale Inhalte.,"1,100 Nyr Shards",Premium currency for optional content.,1 100 Nyr Éclats,Monnaie premium pour contenu optionnel.,1.100 Fragmentos Nyr,Moneda premium para contenido opcional.,1.100 Schegge Nyr,Valuta premium per contenuti opzionali.,1.100 Fragmentos Nyr,Moeda premium para conteúdo opcional.,1.100 Nyr Parçası,İsteğe bağlı içerik için premium para birimi.,"9,99 €"
nyr.shards.2400,consumable,2.400 Nyr-Splitter,Premiumwährung für optionale Inhalte.,"2,400 Nyr Shards",Premium currency for optional content.,2 400 Nyr Éclats,Monnaie premium pour contenu optionnel.,2.400 Fragmentos Nyr,Moneda premium para contenido opcional.,2.400 Schegge Nyr,Valuta premium per contenuti opzionali.,2.400 Fragmentos Nyr,Moeda premium para conteúdo opcional.,2.400 Nyr Parçası,İsteğe bağlı içerik için premium para birimi.,"19,99 €"
nyr.shards.5200,consumable,5.200 Nyr-Splitter,Premiumwährung für optionale Inhalte.,"5,200 Nyr Shards",Premium currency for optional content.,5 200 Nyr Éclats,Monnaie premium pour contenu optionnel.,5.200 Fragmentos Nyr,Moneda premium para contenido opcional.,5.200 Schegge Nyr,Valuta premium per contenuti opzionali.,5.200 Fragmentos Nyr,Moeda premium para conteúdo opcional.,5.200 Nyr Parçası,İsteğe bağlı içerik için premium para birimi.,"39,99 €"
nyr.bundle.wanderer,entitlement,Wandererpaket,"Kosmetik & Account-Komfort, keine Kampfkraft.",Wanderer Pack,"Cosmetics & account convenience, no power.",Pack Voyageur,"Cosmétiques et confort, sans puissance.",Paquete Caminante,"Cosméticos y comodidad, sin poder.",Pacchetto Viandante,"Cosmetici e comodità, senza potere.",Pacote Andarilho,"Cosméticos e conveniência, sem poder.",Gezgin Paketi,Kozmetik ve hesap kolaylığı; güç vermez.,"6,99 €"
nyr.bundle.founder,entitlement,Gründerpaket,"Kosmetik & Account-Komfort, keine Kampfkraft.",Founder Pack,"Cosmetics & account convenience, no power.",Pack Fondateur,"Cosmétiques et confort, sans puissance.",Paquete Fundador,"Cosméticos y comodidad, sin poder.",Pacchetto Fondatore,"Cosmetici e comodità, senza potere.",Pacote Fundador,"Cosméticos e conveniência, sem poder.",Kurucu Paketi,Kozmetik ve hesap kolaylığı; güç vermez.,"24,99 €"
nyr.season.veil01,entitlement,Schleierpass · Saison I,Kosmetischer Saisontrack ohne Kampfkraft.,Veil Pass · Season I,Cosmetic season track with no combat power.,Passe du Voile · Saison I,Piste cosmétique sans puissance de combat.,Pase del Velo · Temp. I,Pista cosmética sin poder de combate.,Pass del Velo · Stag. I,Percorso cosmetico senza potere.,Passe do Véu · Temp. I,Trilha cosmética sem poder de combate.,Peçe Bileti · Sezon I,Savaş gücü vermeyen kozmetik sezon yolu.,"8,99 €"
nyr.account.slot,consumable,Charakterplatz,Ein zusätzlicher permanenter Charakterplatz.,Character Slot,One additional permanent character slot.,Emplacement personnage,Un emplacement personnage permanent en plus.,Espacio de personaje,Un espacio permanente adicional.,Slot personaggio,Uno slot personaggio permanente aggiuntivo.,Espaço de personagem,Um espaço permanente adicional.,Karakter Yuvası,Bir ek kalıcı karakter yuvası.,"4,99 €"
nyr.account.slots3,consumable,Drei Charakterplätze,Drei zusätzliche permanente Charakterplätze.,Three Character Slots,Three additional permanent character slots.,Trois emplacements,Trois emplacements permanents en plus.,Tres espacios de personaje,Tres espacios permanentes adicionales.,Tre slot personaggio,Tre slot permanenti aggiuntivi.,Três espaços de personagem,Três espaços permanentes adicionais.,Üç Karakter Yuvası,Üç ek kalıcı karakter yuvası.,"11,99 €"
